"DATETIME","COUNT","DOW","HOUR","DAY"
2013-01-01 00:00:00,3,"Tuesday",0,1
2013-01-01 01:00:00,6,"Tuesday",1,1
2013-01-01 02:00:00,5,"Tuesday",2,1
2013-01-01 03:00:00,5,"Tuesday",3,1
2013-01-01 04:00:00,5,"Tuesday",4,1
2013-01-01 05:00:00,7,"Tuesday",5,1
2013-01-01 06:00:00,6,"Tuesday",6,1
2013-01-01 07:00:00,5,"Tuesday",7,1
2013-01-01 08:00:00,5,"Tuesday",8,1
2013-01-01 09:00:00,4,"Tuesday",9,1
2013-01-01 10:00:00,4,"Tuesday",10,1
2013-01-01 11:00:00,1,"Tuesday",11,1
2013-01-01 12:00:00,4,"Tuesday",12,1
2013-01-01 13:00:00,9,"Tuesday",13,1
2013-01-01 14:00:00,11,"Tuesday",14,1
2013-01-01 15:00:00,12,"Tuesday",15,1
2013-01-01 16:00:00,8,"Tuesday",16,1
2013-01-01 17:00:00,7,"Tuesday",17,1
2013-01-01 18:00:00,10,"Tuesday",18,1
2013-01-01 19:00:00,14,"Tuesday",19,1
2013-01-01 20:00:00,11,"Tuesday",20,1
2013-01-01 21:00:00,6,"Tuesday",21,1
2013-01-01 22:00:00,9,"Tuesday",22,1
2013-01-01 23:00:00,10,"Tuesday",23,1
2013-01-02 00:00:00,9,"Wednesday",0,2
2013-01-02 01:00:00,6,"Wednesday",1,2
2013-01-02 02:00:00,4,"Wednesday",2,2
2013-01-02 03:00:00,1,"Wednesday",3,2
2013-01-02 04:00:00,1,"Wednesday",4,2
2013-01-02 05:00:00,0,"Wednesday",5,2
2013-01-02 06:00:00,0,"Wednesday",6,2
2013-01-02 07:00:00,0,"Wednesday",7,2
2013-01-02 08:00:00,0,"Wednesday",8,2
2013-01-02 09:00:00,6,"Wednesday",9,2
2013-01-02 10:00:00,8,"Wednesday",10,2
2013-01-02 11:00:00,5,"Wednesday",11,2
2013-01-02 12:00:00,4,"Wednesday",12,2
2013-01-02 13:00:00,9,"Wednesday",13,2
2013-01-02 14:00:00,5,"Wednesday",14,2
2013-01-02 15:00:00,10,"Wednesday",15,2
2013-01-02 16:00:00,13,"Wednesday",16,2
2013-01-02 17:00:00,10,"Wednesday",17,2
2013-01-02 18:00:00,10,"Wednesday",18,2
2013-01-02 19:00:00,10,"Wednesday",19,2
2013-01-02 20:00:00,9,"Wednesday",20,2
2013-01-02 21:00:00,7,"Wednesday",21,2
2013-01-02 22:00:00,11,"Wednesday",22,2
2013-01-02 23:00:00,18,"Wednesday",23,2
2013-01-03 00:00:00,14,"Thursday",0,3
2013-01-03 01:00:00,6,"Thursday",1,3
2013-01-03 02:00:00,3,"Thursday",2,3
2013-01-03 03:00:00,4,"Thursday",3,3
2013-01-03 04:00:00,5,"Thursday",4,3
2013-01-03 05:00:00,5,"Thursday",5,3
2013-01-03 06:00:00,1,"Thursday",6,3
2013-01-03 07:00:00,2,"Thursday",7,3
2013-01-03 08:00:00,1,"Thursday",8,3
2013-01-03 09:00:00,1,"Thursday",9,3
2013-01-03 10:00:00,4,"Thursday",10,3
2013-01-03 11:00:00,6,"Thursday",11,3
2013-01-03 12:00:00,7,"Thursday",12,3
2013-01-03 13:00:00,7,"Thursday",13,3
2013-01-03 14:00:00,4,"Thursday",14,3
2013-01-03 15:00:00,8,"Thursday",15,3
2013-01-03 16:00:00,7,"Thursday",16,3
2013-01-03 17:00:00,6,"Thursday",17,3
2013-01-03 18:00:00,8,"Thursday",18,3
2013-01-03 19:00:00,7,"Thursday",19,3
2013-01-03 20:00:00,7,"Thursday",20,3
2013-01-03 21:00:00,12,"Thursday",21,3
2013-01-03 22:00:00,15,"Thursday",22,3
2013-01-03 23:00:00,12,"Thursday",23,3
2013-01-04 00:00:00,9,"Friday",0,4
2013-01-04 01:00:00,5,"Friday",1,4
2013-01-04 02:00:00,4,"Friday",2,4
2013-01-04 03:00:00,6,"Friday",3,4
2013-01-04 04:00:00,5,"Friday",4,4
2013-01-04 05:00:00,2,"Friday",5,4
